"country"	"year"	"prod.co2"	"fd.co2"	"co2.imports"
"AUS"	1995	15.818	14.965	-0.853
"AUT"	1995	7.426	10.601	3.175
"BEL"	1995	11.338	11.791	0.453000000000001
"CAN"	1995	15.706	14.357	-1.349
"CHL"	1995	2.676	2.761	0.085
"CZE"	1995	12.082	11.333	-0.749000000000001
"DNK"	1995	11.11	13.143	2.033
"EST"	1995	11.18	8.522	-2.658
"FIN"	1995	10.965	13.004	2.039
"FRA"	1995	6.144	7.84	1.696
"DEU"	1995	10.514	12.581	2.067
"GRC"	1995	7.076	7.837	0.761
"HUN"	1995	5.514	5.245	-0.269
"ISL"	1995	7.357	8.843	1.486
"IRL"	1995	9.15	10.083	0.933
"ISR"	1995	8.637	11.116	2.479
"ITA"	1995	7.181	8.295	1.114
"JPN"	1995	9.166	11.197	2.031
"KOR"	1995	8.034	8.281	0.247
"LUX"	1995	19.787	14.403	-5.384
"MEX"	1995	3.103	2.953	-0.15
"NLD"	1995	11.092	11.102	0.00999999999999979
"NZL"	1995	6.863	7.445	0.582
"NOR"	1995	7.533	8.341	0.807999999999999
"POL"	1995	8.593	7.555	-1.038
"PRT"	1995	4.756	5.578	0.822
"SVK"	1995	7.606	6.456	-1.15
"SVN"	1995	7.03	8.357	1.327
"ESP"	1995	5.885	6.511	0.626
"SWE"	1995	6.536	8.424	1.888
"CHE"	1995	5.968	11.442	5.474
"TUR"	1995	2.607	2.98	0.373
"GBR"	1995	8.941	10.152	1.211
"USA"	1995	19.14	19.721	0.581
"ARG"	1995	3.441	3.68	0.239
"BGR"	1995	6.371	3.385	-2.986
"BRA"	1995	1.456	1.565	0.109
"BRN"	1995	15.104	15.906	0.802000000000001
"CHN"	1995	2.442	2.186	-0.256
"COL"	1995	1.596	1.95	0.354
"CRI"	1995	1.256	1.916	0.66
"CYP"	1995	5.786	8.585	2.799
"HKG"	1995	5.884	13.538	7.654
"HRV"	1995	3.365	3.724	0.359
"IDN"	1995	1.103	1.064	-0.0389999999999999
"IND"	1995	0.808	0.763	-0.045
"KHM"	1995	0.136	0.237	0.101
"LTU"	1995	3.896	4.321	0.425
"LVA"	1995	3.564	4.347	0.783
"MLT"	1995	5.918	6.091	0.173
"MYS"	1995	4.11	4.201	0.0909999999999993
"PHL"	1995	0.817	0.871	0.054
"ROU"	1995	5.116	4.366	-0.75
"RUS"	1995	10.486	6.975	-3.511
"SAU"	1995	10.364	9.188	-1.176
"SGP"	1995	11.241	13.044	1.803
"THA"	1995	2.369	2.52	0.151
"TUN"	1995	1.577	1.829	0.252
"TWN"	1995	7.489	7.948	0.459000000000001
"VNM"	1995	0.365	0.373	0.00800000000000001
"ZAF"	1995	6.625	5.453	-1.172
"ROW"	1995	1.513	1.491	-0.0219999999999998
"AUS"	1996	16.206	15.563	-0.642999999999999
"AUT"	1996	7.888	11.243	3.355
"BEL"	1996	11.909	12.377	0.468
"CAN"	1996	16.063	14.579	-1.484
"CHL"	1996	3.064	3.215	0.151
"CZE"	1996	12.28	11.589	-0.690999999999999
"DNK"	1996	13.567	14.429	0.862
"EST"	1996	12	9.21	-2.79
"FIN"	1996	12.135	12.629	0.494
"FRA"	1996	6.381	7.987	1.606
"DEU"	1996	10.825	12.686	1.861
"GRC"	1996	7.015	8.007	0.992
"HUN"	1996	5.607	5.024	-0.583
"ISL"	1996	8.252	9.287	1.035
"IRL"	1996	9.44	10.495	1.055
"ISR"	1996	8.755	11.228	2.473
"ITA"	1996	7.145	8.352	1.207
"JPN"	1996	9.255	11.15	1.895
"KOR"	1996	8.54	8.837	0.297000000000001
"LUX"	1996	19.651	14.628	-5.023
"MEX"	1996	3.176	3.048	-0.128
"NLD"	1996	11.504	11.475	-0.0289999999999999
"NZL"	1996	7.159	7.807	0.648000000000001
"NOR"	1996	7.645	9.429	1.784
"POL"	1996	8.997	8.122	-0.875
"PRT"	1996	4.551	5.421	0.87
"SVK"	1996	7.685	7.389	-0.295999999999999
"SVN"	1996	7.431	8.305	0.874
"ESP"	1996	5.609	6.235	0.626
"SWE"	1996	7.146	9.029	1.883
"CHE"	1996	6.077	11.305	5.228
"TUR"	1996	2.84	3.154	0.314
"GBR"	1996	9.238	10.608	1.37
"USA"	1996	19.526	20.178	0.652000000000001
"ARG"	1996	3.605	3.866	0.261
"BGR"	1996	6.516	3.735	-2.781
"BRA"	1996	1.546	1.676	0.13
"BRN"	1996	15.476	16.895	1.419
"CHN"	1996	2.477	2.199	-0.278
"COL"	1996	1.59	1.9	0.31
"CRI"	1996	1.152	1.821	0.669
"CYP"	1996	6.029	8.319	2.29
"HKG"	1996	5.569	12.931	7.362
"HRV"	1996	3.345	3.764	0.419
"IDN"	1996	1.175	1.134	-0.0410000000000001
"IND"	1996	0.834	0.784	-0.0499999999999999
"KHM"	1996	0.138	0.236	0.098
"LTU"	1996	4.073	4.236	0.162999999999999
"LVA"	1996	3.598	4.285	0.687
"MLT"	1996	5.77	6.183	0.413
"MYS"	1996	4.383	4.394	0.0110000000000001
"PHL"	1996	0.864	0.927	0.0630000000000001
"ROU"	1996	5.326	4.607	-0.718999999999999
"RUS"	1996	10.284	7.037	-3.247
"SAU"	1996	10.863	9.339	-1.524
"SGP"	1996	11.286	13.467	2.181
"THA"	1996	2.652	2.706	0.0539999999999998
"TUN"	1996	1.637	1.764	0.127
"TWN"	1996	7.811	7.816	0.00499999999999989
"VNM"	1996	0.402	0.415	0.013
"ZAF"	1996	6.747	5.472	-1.275
"ROW"	1996	1.464	1.461	-0.00299999999999989
"AUS"	1997	16.424	15.833	-0.590999999999999
"AUT"	1997	7.793	10.615	2.822
"BEL"	1997	11.609	11.547	-0.0619999999999994
"CAN"	1997	16.465	15.435	-1.03
"CHL"	1997	3.48	3.466	-0.0139999999999998
"CZE"	1997	12.076	10.682	-1.394
"DNK"	1997	11.695	12.995	1.3
"EST"	1997	11.848	9.003	-2.845
"FIN"	1997	11.674	11.944	0.270000000000001
"FRA"	1997	6.23	7.524	1.294
"DEU"	1997	10.436	12.03	1.594
"GRC"	1997	7.055	7.908	0.853000000000001
"HUN"	1997	5.465	5.176	-0.289
"ISL"	1997	7.73	8.837	1.107
"IRL"	1997	9.658	10.512	0.854000000000001
"ISR"	1997	8.909	11.213	2.304
"ITA"	1997	7.219	8.319	1.1
"JPN"	1997	9.204	10.852	1.648
"KOR"	1997	9.024	8.794	-0.229999999999999
"LUX"	1997	18.346	14.138	-4.208
"MEX"	1997	3.225	3.233	0.00800000000000001
"NLD"	1997	11.091	10.818	-0.273
"NZL"	1997	7.681	8.274	0.592999999999999
"NOR"	1997	7.976	9.306	1.33
"POL"	1997	8.726	7.92	-0.806000000000001
"PRT"	1997	4.739	5.614	0.875
"SVK"	1997	7.706	7.519	-0.187
"SVN"	1997	7.626	8.34	0.714
"ESP"	1997	6.059	6.43	0.371
"SWE"	1997	6.467	8.229	1.762
"CHE"	1997	5.89	10.953	5.063
"TUR"	1997	2.928	3.245	0.317
"GBR"	1997	8.853	10.534	1.681
"USA"	1997	19.935	20.663	0.728000000000002
"ARG"	1997	3.72	4.211	0.491
"BGR"	1997	6.237	3.168	-3.069
"BRA"	1997	1.632	1.752	0.12
"BRN"	1997	16.33	17.937	1.607
"CHN"	1997	2.437	2.167	-0.27
"COL"	1997	1.668	2.014	0.346
"CRI"	1997	1.095	1.828	0.733
"CYP"	1997	6.048	8.014	1.966
"HKG"	1997	5.058	12.492	7.434
"HRV"	1997	3.746	4.492	0.746
"IDN"	1997	1.254	1.178	-0.0760000000000001
"IND"	1997	0.862	0.814	-0.048
"KHM"	1997	0.143	0.24	0.097
"LTU"	1997	4.005	4.363	0.358000000000001
"LVA"	1997	3.44	4.459	1.019
"MLT"	1997	6.066	6.03	-0.0359999999999996
"MYS"	1997	4.604	4.455	-0.149
"PHL"	1997	0.938	0.986	0.048
"ROU"	1997	4.922	4.124	-0.798
"RUS"	1997	9.628	6.776	-2.852
"SAU"	1997	10.882	9.34	-1.542
"SGP"	1997	11.238	14.14	2.902
"THA"	1997	2.691	2.407	-0.284
"TUN"	1997	1.697	1.805	0.108
"TWN"	1997	8.289	8.499	0.210000000000001
"VNM"	1997	0.462	0.461	-0.001
"ZAF"	1997	6.97	5.758	-1.212
"ROW"	1997	1.459	1.458	-0.00100000000000011
"AUS"	1998	17.265	16.969	-0.295999999999999
"AUT"	1998	7.84	10.645	2.805
"BEL"	1998	11.832	12.232	0.399999999999999
"CAN"	1998	16.451	15.424	-1.027
"CHL"	1998	3.531	3.578	0.0469999999999997
"CZE"	1998	11.42	10.515	-0.904999999999999
"DNK"	1998	10.91	13.124	2.214
"EST"	1998	11.537	9.71	-1.827
