"partner"	"country"	"value"
"AUS"	"AUS"	319.341
"AUT"	"AUS"	0.187
"BEL"	"AUS"	0.363
"BRA"	"AUS"	0.592
"CAN"	"AUS"	1.201
"CHE"	"AUS"	0.146
"CHL"	"AUS"	0.384
"CHN"	"AUS"	38.696
"CZE"	"AUS"	0.278
"DEU"	"AUS"	2.428
"DNK"	"AUS"	0.258
"ESP"	"AUS"	0.817
"EST"	"AUS"	0.036
"FIN"	"AUS"	0.283
"FRA"	"AUS"	0.825
"GBR"	"AUS"	2.055
"GRC"	"AUS"	0.144
"HUN"	"AUS"	0.11
"IDN"	"AUS"	3.316
"IND"	"AUS"	6.65
"IRL"	"AUS"	0.164
"ISL"	"AUS"	0.006
"ISR"	"AUS"	0.172
"ITA"	"AUS"	1.246
"JPN"	"AUS"	5.931
"KOR"	"AUS"	4.509
"LUX"	"AUS"	0.047
"MEX"	"AUS"	0.673
"NLD"	"AUS"	0.653
"NOR"	"AUS"	0.219
"NZL"	"AUS"	1.749
"POL"	"AUS"	0.435
"PRT"	"AUS"	0.074
"RUS"	"AUS"	4.861
"SVK"	"AUS"	0.086
"SVN"	"AUS"	0.024
"SWE"	"AUS"	0.222
"TUR"	"AUS"	0.358
"USA"	"AUS"	11.143
"ZAF"	"AUS"	1.014
"AUS"	"AUT"	0.093
"AUT"	"AUT"	46.262
"BEL"	"AUT"	0.372
"BRA"	"AUT"	0.197
"CAN"	"AUT"	0.215
"CHE"	"AUT"	0.169
"CHL"	"AUT"	0.076
"CHN"	"AUT"	5.286
"CZE"	"AUT"	1.513
"DEU"	"AUT"	18.237
"DNK"	"AUT"	0.125
"ESP"	"AUT"	0.554
"EST"	"AUT"	0.041
"FIN"	"AUT"	0.141
"FRA"	"AUT"	0.569
"GBR"	"AUT"	0.532
"GRC"	"AUT"	0.177
"HUN"	"AUT"	0.776
"IDN"	"AUT"	0.143
"IND"	"AUT"	1.055
"IRL"	"AUT"	0.068
"ISL"	"AUT"	0.008
"ISR"	"AUT"	0.032
"ITA"	"AUT"	1.654
"JPN"	"AUT"	0.443
"KOR"	"AUT"	0.4
"LUX"	"AUT"	0.084
"MEX"	"AUT"	0.08
"NLD"	"AUT"	0.569
"NOR"	"AUT"	0.089
"NZL"	"AUT"	0.015
"POL"	"AUT"	1.479
"PRT"	"AUT"	0.072
"RUS"	"AUT"	5.404
"SVK"	"AUT"	0.712
"SVN"	"AUT"	0.278
"SWE"	"AUT"	0.127
"TUR"	"AUT"	0.372
"USA"	"AUT"	1.322
"ZAF"	"AUT"	0.229
"AUS"	"BEL"	0.191
"AUT"	"BEL"	0.21
"BEL"	"BEL"	66.837
"BRA"	"BEL"	0.327
"CAN"	"BEL"	0.424
"CHE"	"BEL"	0.093
"CHL"	"BEL"	0.089
"CHN"	"BEL"	6.07
"CZE"	"BEL"	0.584
"DEU"	"BEL"	22.083
"DNK"	"BEL"	0.279
"ESP"	"BEL"	1.183
"EST"	"BEL"	0.044
"FIN"	"BEL"	0.257
"FRA"	"BEL"	2.535
"GBR"	"BEL"	1.723
"GRC"	"BEL"	0.192
"HUN"	"BEL"	0.171
"IDN"	"BEL"	0.223
"IND"	"BEL"	6.137
"IRL"	"BEL"	0.157
"ISL"	"BEL"	0.014
"ISR"	"BEL"	0.136
"ITA"	"BEL"	0.992
"JPN"	"BEL"	0.611
"KOR"	"BEL"	0.459
"LUX"	"BEL"	0.722
"MEX"	"BEL"	0.154
"NLD"	"BEL"	2.953
"NOR"	"BEL"	0.285
"NZL"	"BEL"	0.027
"POL"	"BEL"	0.908
"PRT"	"BEL"	0.153
"RUS"	"BEL"	7.027
"SVK"	"BEL"	0.123
"SVN"	"BEL"	0.057
"SWE"	"BEL"	0.191
"TUR"	"BEL"	0.404
"USA"	"BEL"	3.061
"ZAF"	"BEL"	0.5
"AUS"	"BRA"	0.942
"AUT"	"BRA"	0.273
"BEL"	"BRA"	0.506
"BRA"	"BRA"	344.111
"CAN"	"BRA"	1.632
"CHE"	"BRA"	0.15
"CHL"	"BRA"	1.717
"CHN"	"BRA"	30.524
"CZE"	"BRA"	0.34
"DEU"	"BRA"	3.241
"DNK"	"BRA"	0.284
"ESP"	"BRA"	1.364
"EST"	"BRA"	0.028
"FIN"	"BRA"	0.252
"FRA"	"BRA"	1.016
"GBR"	"BRA"	1.029
"GRC"	"BRA"	0.164
"HUN"	"BRA"	0.155
"IDN"	"BRA"	0.924
"IND"	"BRA"	7.973
"IRL"	"BRA"	0.088
"ISL"	"BRA"	0.007
"ISR"	"BRA"	0.272
"ITA"	"BRA"	1.369
"JPN"	"BRA"	2.612
"KOR"	"BRA"	5.104
"LUX"	"BRA"	0.057
"MEX"	"BRA"	1.651
"NLD"	"BRA"	0.808
"NOR"	"BRA"	0.466
"NZL"	"BRA"	0.051
"POL"	"BRA"	0.522
"PRT"	"BRA"	0.59
"RUS"	"BRA"	7.19
"SVK"	"BRA"	0.108
"SVN"	"BRA"	0.028
"SWE"	"BRA"	0.244
"TUR"	"BRA"	0.566
"USA"	"BRA"	16.212
"ZAF"	"BRA"	1.258
"AUS"	"CAN"	0.862
"AUT"	"CAN"	0.233
"BEL"	"CAN"	0.446
"BRA"	"CAN"	1.29
"CAN"	"CAN"	415.644
"CHE"	"CAN"	0.147
"CHL"	"CAN"	0.485
"CHN"	"CAN"	38.573
"CZE"	"CAN"	0.348
"DEU"	"CAN"	2.783
"DNK"	"CAN"	0.278
"ESP"	"CAN"	0.81
"EST"	"CAN"	0.04
"FIN"	"CAN"	0.409
"FRA"	"CAN"	0.983
"GBR"	"CAN"	2.161
"GRC"	"CAN"	0.212
"HUN"	"CAN"	0.146
"IDN"	"CAN"	0.863
"IND"	"CAN"	5.595
"IRL"	"CAN"	0.158
"ISL"	"CAN"	0.012
"ISR"	"CAN"	0.203
"ITA"	"CAN"	1.282
"JPN"	"CAN"	3.858
"KOR"	"CAN"	4.012
"LUX"	"CAN"	0.098
"MEX"	"CAN"	5.451
"NLD"	"CAN"	0.648
"NOR"	"CAN"	0.458
"NZL"	"CAN"	0.113
"POL"	"CAN"	0.867
"PRT"	"CAN"	0.137
"RUS"	"CAN"	6.417
"SVK"	"CAN"	0.122
"SVN"	"CAN"	0.033
"SWE"	"CAN"	0.233
"TUR"	"CAN"	0.585
"USA"	"CAN"	56.56
"ZAF"	"CAN"	1.037
"AUS"	"CHE"	0.224
"AUT"	"CHE"	0.874
"BEL"	"CHE"	1.059
"BRA"	"CHE"	0.339
"CAN"	"CHE"	0.451
"CHE"	"CHE"	31.667
"CHL"	"CHE"	0.12
"CHN"	"CHE"	7.507
"CZE"	"CHE"	0.958
"DEU"	"CHE"	14.229
"DNK"	"CHE"	0.24
"ESP"	"CHE"	1.534
"EST"	"CHE"	0.051
"FIN"	"CHE"	0.228
"FRA"	"CHE"	2.194
"GBR"	"CHE"	1.528
"GRC"	"CHE"	0.239
"HUN"	"CHE"	0.279
"IDN"	"CHE"	0.235
"IND"	"CHE"	2.692
"IRL"	"CHE"	0.243
"ISL"	"CHE"	0.012
"ISR"	"CHE"	0.147
"ITA"	"CHE"	3.168
"JPN"	"CHE"	1.225
"KOR"	"CHE"	0.689
"LUX"	"CHE"	0.146
"MEX"	"CHE"	0.275
"NLD"	"CHE"	1.264
"NOR"	"CHE"	0.162
"NZL"	"CHE"	0.028
"POL"	"CHE"	1.469
"PRT"	"CHE"	0.179
"RUS"	"CHE"	5.328
"SVK"	"CHE"	0.247
"SVN"	"CHE"	0.085
"SWE"	"CHE"	0.227
"TUR"	"CHE"	0.392
"USA"	"CHE"	4.547
