"country"	"year"	"fd.co2"
"AUS"	1995	14.965
"AUT"	1995	10.601
"BEL"	1995	11.791
"CAN"	1995	14.357
"CHL"	1995	2.761
"CZE"	1995	11.333
"DNK"	1995	13.143
"EST"	1995	8.522
"FIN"	1995	13.004
"FRA"	1995	7.84
"DEU"	1995	12.581
"GRC"	1995	7.837
"HUN"	1995	5.245
"ISL"	1995	8.843
"IRL"	1995	10.083
"ISR"	1995	11.116
"ITA"	1995	8.295
"JPN"	1995	11.197
"KOR"	1995	8.281
"LUX"	1995	14.403
"MEX"	1995	2.953
"NLD"	1995	11.102
"NZL"	1995	7.445
"NOR"	1995	8.341
"POL"	1995	7.555
"PRT"	1995	5.578
"SVK"	1995	6.456
"SVN"	1995	8.357
"ESP"	1995	6.511
"SWE"	1995	8.424
"CHE"	1995	11.442
"TUR"	1995	2.98
"GBR"	1995	10.152
"USA"	1995	19.721
"ARG"	1995	3.68
"BGR"	1995	3.385
"BRA"	1995	1.565
"BRN"	1995	15.906
"CHN"	1995	2.186
"COL"	1995	1.95
"CRI"	1995	1.916
"CYP"	1995	8.585
"HKG"	1995	13.538
"HRV"	1995	3.724
"IDN"	1995	1.064
"IND"	1995	0.763
"KHM"	1995	0.237
"LTU"	1995	4.321
"LVA"	1995	4.347
"MLT"	1995	6.091
"MYS"	1995	4.201
"PHL"	1995	0.871
"ROU"	1995	4.366
"RUS"	1995	6.975
"SAU"	1995	9.188
"SGP"	1995	13.044
"THA"	1995	2.52
"TUN"	1995	1.829
"TWN"	1995	7.948
"VNM"	1995	0.373
"ZAF"	1995	5.453
"ROW"	1995	1.491
"AUS"	1996	15.563
"AUT"	1996	11.243
"BEL"	1996	12.377
"CAN"	1996	14.579
"CHL"	1996	3.215
"CZE"	1996	11.589
"DNK"	1996	14.429
"EST"	1996	9.21
"FIN"	1996	12.629
"FRA"	1996	7.987
"DEU"	1996	12.686
"GRC"	1996	8.007
"HUN"	1996	5.024
"ISL"	1996	9.287
"IRL"	1996	10.495
"ISR"	1996	11.228
"ITA"	1996	8.352
"JPN"	1996	11.15
"KOR"	1996	8.837
"LUX"	1996	14.628
"MEX"	1996	3.048
"NLD"	1996	11.475
"NZL"	1996	7.807
"NOR"	1996	9.429
"POL"	1996	8.122
