"country"	"year"	"CO2_PBPROD"	"DMC_PROD"	"GDP_RCAP"	"OECD"
"ARE"	1990	3.918444	NA	112202.3	"0"
"ARE"	1991	3.465728	NA	107149.7	"0"
"ARE"	1992	3.746328	NA	104929.9	"0"
"ARE"	1993	3.600046	NA	100817.9	"0"
"ARE"	1994	3.497344	NA	102454	"0"
"ARE"	1995	3.513175	NA	104101.1	"0"
"ARE"	1996	3.559948	NA	104891.6	"0"
"ARE"	1997	3.653544	NA	107907.7	"0"
"ARE"	1998	3.581964	NA	102737.9	"0"
"ARE"	1999	3.585325	NA	100206	"0"
"ARE"	2000	4.013263	NA	105037.8	"0"
"ARE"	2001	3.511253	NA	100955.5	"0"
"ARE"	2002	3.519849	NA	98043.79	"0"
"ARE"	2003	3.665604	NA	99854.36	"0"
"ARE"	2004	3.778333	NA	99771.8	"0"
"ARE"	2005	3.74356	NA	92804.37	"0"
"ARE"	2006	3.972048	NA	88347.02	"0"
"ARE"	2007	3.797127	NA	78436.85	"0"
"ARE"	2008	3.321	NA	70500.01	"0"
"ARE"	2009	3.135751	NA	59822.2	"0"
"ARE"	2010	3.087275	NA	56245.47	"0"
"ARE"	2011	3.097224	NA	56429.08	"0"
"ARE"	2012	3.101061	NA	58851.48	"0"
"ARE"	2013	3.168491	NA	60800.84	"0"
"ARE"	2014	3.276283	NA	63256.61	"0"
"ARE"	2015	NA	NA	64765.03	"0"
"ARG"	1990	4.031209	NA	12240.29	"0"
"ARG"	1991	3.731325	NA	11776.06	"0"
"ARG"	1992	4.105503	NA	13000.19	"0"
"ARG"	1993	4.536675	NA	14273.32	"0"
"ARG"	1994	4.480575	NA	14897.17	"0"
"ARG"	1995	4.638244	NA	15545.72	"0"
"ARG"	1996	4.232632	NA	14915.92	"0"
"ARG"	1997	4.256399	NA	15536.57	"0"
"ARG"	1998	4.433776	NA	16559.87	"0"
"ARG"	1999	4.471139	NA	16994.89	"0"
"ARG"	2000	4.316528	NA	16228.28	"0"
"ARG"	2001	4.631384	NA	15921.82	"0"
"ARG"	2002	4.68476	NA	15036.21	"0"
"ARG"	2003	3.852902	NA	13155.96	"0"
"ARG"	2004	3.73082	NA	14115.52	"0"
"ARG"	2005	3.983623	NA	15206.67	"0"
"ARG"	2006	4.056097	NA	16273.09	"0"
"ARG"	2007	4.238577	NA	17557.74	"0"
"ARG"	2008	4.135359	NA	18090.08	"0"
"ARG"	2009	4.065749	NA	16828.58	"0"
"ARG"	2010	4.361437	NA	18379.82	"0"
"ARG"	2011	4.438936	NA	19307.04	"0"
"ARG"	2012	4.287832	NA	18904.25	"0"
"ARG"	2013	4.503022	NA	19138.08	"0"
"ARG"	2014	4.122825	NA	18456.78	"0"
"ARG"	2015	NA	NA	18704.57	"0"
"ARM"	1990	0.6539065	NA	3659.978	"0"
"ARM"	1991	0.5539461	NA	3261.928	"0"
"ARM"	1992	0.6260246	NA	1932.792	"0"
"ARM"	1993	1.235864	NA	1804.464	"0"
"ARM"	1994	2.391342	NA	1947.996	"0"
"ARM"	1995	2.032939	NA	2125.546	"0"
"ARM"	1996	3.022017	NA	2285.493	"0"
"ARM"	1997	2.371429	NA	2388.319	"0"
"ARM"	1998	2.45145	NA	2582.996	"0"
"ARM"	1999	2.834847	NA	2684.74	"0"
"ARM"	2000	2.571977	NA	2859.519	"0"
"ARM"	2001	2.785196	NA	3149.237	"0"
"ARM"	2002	3.748286	NA	3579.462	"0"
"ARM"	2003	3.80398	NA	4096.605	"0"
"ARM"	2004	3.97142	NA	4541.042	"0"
"ARM"	2005	3.788478	NA	5189.667	"0"
"ARM"	2006	4.267814	NA	5899.561	"0"
"ARM"	2007	4.19721	NA	6742.243	"0"
"ARM"	2008	4.086665	NA	7239.164	"0"
"ARM"	2009	4.330042	NA	6233.516	"0"
"ARM"	2010	4.66569	NA	6376.268	"0"
"ARM"	2011	4.236437	NA	6665.858	"0"
"ARM"	2012	3.898643	NA	7120.955	"0"
"ARM"	2013	4.181012	NA	7321.891	"0"
"ARM"	2014	4.343927	NA	7542.96	"0"
"ARM"	2015	NA	NA	7739.493	"0"
"AUS"	1990	1.880472	NA	28620.64	"1"
"AUS"	1991	1.878282	NA	28370.86	"1"
"AUS"	1992	1.924903	NA	29193.46	"1"
"AUS"	1993	1.973521	NA	30105.31	"1"
"AUS"	1994	2.005781	NA	30972.72	"1"
"AUS"	1995	2.008931	NA	31840.06	"1"
"AUS"	1996	2.014183	NA	32693.73	"1"
"AUS"	1997	2.052921	NA	33783.31	"1"
"AUS"	1998	2.018167	NA	35116.48	"1"
"AUS"	1999	2.06399	NA	36079.5	"1"
"AUS"	2000	2.067104	NA	36360.09	"1"
"AUS"	2001	2.106978	NA	37278.48	"1"
"AUS"	2002	2.122026	NA	37989.66	"1"
"AUS"	2003	2.185961	NA	39114.52	"1"
"AUS"	2004	2.171205	NA	39935.41	"1"
"AUS"	2005	2.204287	NA	40629.31	"1"
"AUS"	2006	2.254205	NA	41591.25	"1"
"AUS"	2007	2.276821	NA	42354.25	"1"
"AUS"	2008	2.30339	0.9930606	42266.57	"1"
"AUS"	2009	2.313859	1.049704	42246.86	"1"
"AUS"	2010	2.408325	1.078235	42580.75	"1"
"AUS"	2011	2.5096	1.102515	43519.21	"1"
"AUS"	2012	2.572893	1.157027	43816.15	"1"
"AUS"	2013	2.664544	NA	44146.35	"1"
"AUS"	2014	2.792789	NA	44439.71	"1"
"AUS"	2015	NA	NA	44632.1	"1"
"AUT"	1990	4.138615	1.54247	30336.8	"1"
"AUT"	1991	3.985732	1.593073	31069.13	"1"
"AUT"	1992	4.424925	1.57302	31372.39	"1"
"AUT"	1993	4.431496	1.574349	31278.66	"1"
"AUT"	1994	4.504044	1.645471	31906.97	"1"
"AUT"	1995	4.362698	1.68521	32708.13	"1"
"AUT"	1996	4.204835	1.680316	33447.38	"1"
"AUT"	1997	4.352552	1.63521	34146.18	"1"
"AUT"	1998	4.463233	1.777854	35323	"1"
"AUT"	1999	4.746776	1.764822	36519.97	"1"
"AUT"	2000	4.87653	1.882433	37659.44	"1"
"AUT"	2001	4.616328	1.984365	38022.2	"1"
"AUT"	2002	4.601761	1.880774	38461.3	"1"
"AUT"	2003	4.298647	2.030566	38579.7	"1"
"AUT"	2004	4.349295	1.956371	39375.26	"1"
"AUT"	2005	4.407241	1.941917	39945.13	"1"
"AUT"	2006	4.724114	1.938417	41070.57	"1"
"AUT"	2007	5.06429	1.978287	42418.18	"1"
"AUT"	2008	5.131569	2.129632	42938.1	"1"
"AUT"	2009	5.397875	2.211726	41208.1	"1"
"AUT"	2010	5.102173	2.267843	41904.48	"1"
"AUT"	2011	5.393898	2.212805	42940.1	"1"
"AUT"	2012	5.679041	2.292644	43066.38	"1"
"AUT"	2013	5.656882	2.314499	42904.71	"1"
"AUT"	2014	6.016527	2.225547	43006.73	"1"
"AUT"	2015	NA	7.28346	43241.44	"1"
"AZE"	1990	1.116774	NA	8341.099	"0"
"AZE"	1991	1.13943	NA	8155.127	"0"
"AZE"	1992	1.08192	NA	6217.157	"0"
"AZE"	1993	0.9449341	NA	4708.911	"0"
"AZE"	1994	0.8518339	NA	3730.488	"0"
"AZE"	1995	0.7724454	NA	3252.613	"0"
"AZE"	1996	0.9357459	NA	3261.791	"0"
"AZE"	1997	1.02018	NA	3417.844	"0"
"AZE"	1998	1.122625	NA	3724.114	"0"
"AZE"	1999	1.228634	NA	3964.75	"0"
"AZE"	2000	1.288012	NA	4368.8	"0"
"AZE"	2001	1.496083	NA	4764.255	"0"
"AZE"	2002	1.675424	NA	5230.094	"0"
"AZE"	2003	1.708374	NA	5771.968	"0"
"AZE"	2004	1.911486	NA	6305.268	"0"
"AZE"	2005	2.282028	NA	7888.801	"0"
"AZE"	2006	3.029642	NA	10494.51	"0"
"AZE"	2007	4.171792	NA	12975.32	"0"
"AZE"	2008	4.282628	NA	14074.41	"0"
"AZE"	2009	5.503539	NA	15082.5	"0"
"AZE"	2010	6.013495	NA	15627.61	"0"
"AZE"	2011	5.355175	NA	15435.47	"0"
"AZE"	2012	5.008855	NA	15566.82	"0"
"AZE"	2013	5.198436	NA	16257.53	"0"
"AZE"	2014	5.07164	NA	16376.98	"0"
"AZE"	2015	NA	NA	16357.67	"0"
"BEL"	1990	2.751913	NA	29334.79	"1"
"BEL"	1991	2.684372	NA	29761.71	"1"
"BEL"	1992	2.769911	NA	30094.92	"1"
"BEL"	1993	2.794737	NA	29689.24	"1"
"BEL"	1994	2.760712	NA	30552.98	"1"
"BEL"	1995	2.834651	NA	31216.15	"1"
"BEL"	1996	2.752104	NA	31651.57	"1"
"BEL"	1997	2.932815	NA	32746.73	"1"
"BEL"	1998	2.925132	NA	33322.37	"1"
"BEL"	1999	3.12813	NA	34430.68	"1"
"BEL"	2000	3.20225	3.222548	35595.31	"1"
"BEL"	2001	3.208244	3.251025	35760.92	"1"
"BEL"	2002	3.48286	3.361139	36234.92	"1"
"BEL"	2003	3.358921	3.499652	36363.04	"1"
"BEL"	2004	3.520816	3.560495	37522.02	"1"
"BEL"	2005	3.721204	3.512952	38097.68	"1"
"BEL"	2006	3.929588	3.324149	38793.13	"1"
