"country"	"year"	"prod.co2"
"AUS"	1995	15.818
"AUT"	1995	7.426
"BEL"	1995	11.338
"CAN"	1995	15.706
"CHL"	1995	2.676
"CZE"	1995	12.082
"DNK"	1995	11.11
"EST"	1995	11.18
"FIN"	1995	10.965
"FRA"	1995	6.144
"DEU"	1995	10.514
"GRC"	1995	7.076
"HUN"	1995	5.514
"ISL"	1995	7.357
"IRL"	1995	9.15
"ISR"	1995	8.637
"ITA"	1995	7.181
"JPN"	1995	9.166
"KOR"	1995	8.034
"LUX"	1995	19.787
"MEX"	1995	3.103
"NLD"	1995	11.092
"NZL"	1995	6.863
"NOR"	1995	7.533
"POL"	1995	8.593
"PRT"	1995	4.756
"SVK"	1995	7.606
"SVN"	1995	7.03
"ESP"	1995	5.885
"SWE"	1995	6.536
"CHE"	1995	5.968
"TUR"	1995	2.607
"GBR"	1995	8.941
"USA"	1995	19.14
"ARG"	1995	3.441
"BGR"	1995	6.371
"BRA"	1995	1.456
"BRN"	1995	15.104
"CHN"	1995	2.442
"COL"	1995	1.596
"CRI"	1995	1.256
"CYP"	1995	5.786
"HKG"	1995	5.884
"HRV"	1995	3.365
"IDN"	1995	1.103
"IND"	1995	0.808
"KHM"	1995	0.136
"LTU"	1995	3.896
"LVA"	1995	3.564
"MLT"	1995	5.918
"MYS"	1995	4.11
"PHL"	1995	0.817
"ROU"	1995	5.116
"RUS"	1995	10.486
"SAU"	1995	10.364
"SGP"	1995	11.241
"THA"	1995	2.369
"TUN"	1995	1.577
"TWN"	1995	7.489
"VNM"	1995	0.365
"ZAF"	1995	6.625
"ROW"	1995	1.513
"AUS"	1996	16.206
"AUT"	1996	7.888
"BEL"	1996	11.909
"CAN"	1996	16.063
"CHL"	1996	3.064
"CZE"	1996	12.28
"DNK"	1996	13.567
"EST"	1996	12
"FIN"	1996	12.135
"FRA"	1996	6.381
"DEU"	1996	10.825
"GRC"	1996	7.015
"HUN"	1996	5.607
"ISL"	1996	8.252
"IRL"	1996	9.44
"ISR"	1996	8.755
"ITA"	1996	7.145
"JPN"	1996	9.255
"KOR"	1996	8.54
"LUX"	1996	19.651
"MEX"	1996	3.176
"NLD"	1996	11.504
"NZL"	1996	7.159
"NOR"	1996	7.645
"POL"	1996	8.997
"PRT"	1996	4.551
"SVK"	1996	7.685
"SVN"	1996	7.431
"ESP"	1996	5.609
"SWE"	1996	7.146
"CHE"	1996	6.077
"TUR"	1996	2.84
"GBR"	1996	9.238
"USA"	1996	19.526
"ARG"	1996	3.605
"BGR"	1996	6.516
"BRA"	1996	1.546
"BRN"	1996	15.476
"CHN"	1996	2.477
"COL"	1996	1.59
"CRI"	1996	1.152
"CYP"	1996	6.029
"HKG"	1996	5.569
"HRV"	1996	3.345
"IDN"	1996	1.175
"IND"	1996	0.834
"KHM"	1996	0.138
"LTU"	1996	4.073
"LVA"	1996	3.598
"MLT"	1996	5.77
"MYS"	1996	4.383
"PHL"	1996	0.864
"ROU"	1996	5.326
"RUS"	1996	10.284
"SAU"	1996	10.863
"SGP"	1996	11.286
"THA"	1996	2.652
"TUN"	1996	1.637
"TWN"	1996	7.811
"VNM"	1996	0.402
"ZAF"	1996	6.747
"ROW"	1996	1.464
"AUS"	1997	16.424
"AUT"	1997	7.793
"BEL"	1997	11.609
"CAN"	1997	16.465
"CHL"	1997	3.48
"CZE"	1997	12.076
"DNK"	1997	11.695
"EST"	1997	11.848
"FIN"	1997	11.674
"FRA"	1997	6.23
"DEU"	1997	10.436
"GRC"	1997	7.055
"HUN"	1997	5.465
"ISL"	1997	7.73
"IRL"	1997	9.658
"ISR"	1997	8.909
"ITA"	1997	7.219
"JPN"	1997	9.204
"KOR"	1997	9.024
"LUX"	1997	18.346
"MEX"	1997	3.225
"NLD"	1997	11.091
"NZL"	1997	7.681
"NOR"	1997	7.976
"POL"	1997	8.726
"PRT"	1997	4.739
"SVK"	1997	7.706
"SVN"	1997	7.626
"ESP"	1997	6.059
"SWE"	1997	6.467
"CHE"	1997	5.89
"TUR"	1997	2.928
"GBR"	1997	8.853
"USA"	1997	19.935
"ARG"	1997	3.72
"BGR"	1997	6.237
"BRA"	1997	1.632
"BRN"	1997	16.33
"CHN"	1997	2.437
"COL"	1997	1.668
"CRI"	1997	1.095
"CYP"	1997	6.048
"HKG"	1997	5.058
"HRV"	1997	3.746
"IDN"	1997	1.254
"IND"	1997	0.862
"KHM"	1997	0.143
"LTU"	1997	4.005
"LVA"	1997	3.44
"MLT"	1997	6.066
"MYS"	1997	4.604
"PHL"	1997	0.938
"ROU"	1997	4.922
"RUS"	1997	9.628
"SAU"	1997	10.882
"SGP"	1997	11.238
"THA"	1997	2.691
"TUN"	1997	1.697
"TWN"	1997	8.289
"VNM"	1997	0.462
"ZAF"	1997	6.97
"ROW"	1997	1.459
"AUS"	1998	17.265
"AUT"	1998	7.84
"BEL"	1998	11.832
"CAN"	1998	16.451
"CHL"	1998	3.531
"CZE"	1998	11.42
"DNK"	1998	10.91
"EST"	1998	11.537
"FIN"	1998	11.025
"FRA"	1998	6.664
"DEU"	1998	10.368
"GRC"	1998	7.338
"HUN"	1998	5.519
"ISL"	1998	7.624
"IRL"	1998	10.254
"ISR"	1998	8.561
"ITA"	1998	7.408
"JPN"	1998	8.94
"KOR"	1998	7.718
"LUX"	1998	16.638
"MEX"	1998	3.358
"NLD"	1998	11.073
"NZL"	1998	7.441
"NOR"	1998	8.347
"POL"	1998	8.101
"PRT"	1998	5.175
"SVK"	1998	7.391
"SVN"	1998	7.54
